======================================================================
ALL submodules inside cv2.model.flow (CausalMaskedDiffWithXvec)
======================================================================
  flow.                                                   | CausalMaskedDiffWithXvec            | 112.55M
  flow.decoder.estimator.mid_blocks.7.0.block2.block.0    | CausalConv1d                        | 0.20M
  flow.decoder.estimator.mid_blocks.7.0.block2.block.1    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.0.block2.block.2    | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.0.block2.block.3    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.0.block2.block.4    | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.7.0.res_conv          | Conv1d                              | 0.07M
  flow.decoder.estimator.mid_blocks.7.1                   | ModuleList                          | 4.20M
  flow.decoder.estimator.mid_blocks.7.1.0                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.7.1.0.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.0.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.7.1.0.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.0.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.0.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.0.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.0.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.0.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.0.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.0.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.7.1.0.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.7.1.0.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.0.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.0.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.0.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.1                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.7.1.1.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.1.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.7.1.1.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.1.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.1.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.1.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.1.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.1.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.1.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.1.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.7.1.1.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.7.1.1.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.1.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.1.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.1.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.2                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.7.1.2.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.2.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.7.1.2.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.2.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.2.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.2.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.2.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.2.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.2.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.2.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.7.1.2.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.7.1.2.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.2.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.2.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.2.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.3                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.7.1.3.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.3.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.7.1.3.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.3.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.3.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.3.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.3.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.7.1.3.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.3.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.3.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.7.1.3.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.7.1.3.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.3.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.7.1.3.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.7.1.3.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.8                     | ModuleList                          | 4.93M
  flow.decoder.estimator.mid_blocks.8.0                   | CausalResnetBlock1D                 | 0.72M
  flow.decoder.estimator.mid_blocks.8.0.mlp               | Sequential                          | 0.26M
  flow.decoder.estimator.mid_blocks.8.0.mlp.0             | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.8.0.mlp.1             | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.8.0.block1            | CausalBlock1D                       | 0.20M
  flow.decoder.estimator.mid_blocks.8.0.block1.block      | Sequential                          | 0.20M
  flow.decoder.estimator.mid_blocks.8.0.block1.block.0    | CausalConv1d                        | 0.20M
  flow.decoder.estimator.mid_blocks.8.0.block1.block.1    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.0.block1.block.2    | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.0.block1.block.3    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.0.block1.block.4    | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.8.0.block2            | CausalBlock1D                       | 0.20M
  flow.decoder.estimator.mid_blocks.8.0.block2.block      | Sequential                          | 0.20M
  flow.decoder.estimator.mid_blocks.8.0.block2.block.0    | CausalConv1d                        | 0.20M
  flow.decoder.estimator.mid_blocks.8.0.block2.block.1    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.0.block2.block.2    | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.0.block2.block.3    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.0.block2.block.4    | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.8.0.res_conv          | Conv1d                              | 0.07M
  flow.decoder.estimator.mid_blocks.8.1                   | ModuleList                          | 4.20M
  flow.decoder.estimator.mid_blocks.8.1.0                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.8.1.0.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.0.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.8.1.0.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.0.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.0.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.0.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.0.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.0.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.0.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.0.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.8.1.0.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.8.1.0.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.0.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.0.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.0.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.1                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.8.1.1.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.1.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.8.1.1.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.1.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.1.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.1.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.1.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.1.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.1.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.1.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.8.1.1.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.8.1.1.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.1.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.1.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.1.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.2                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.8.1.2.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.2.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.8.1.2.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.2.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.2.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.2.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.2.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.2.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.2.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.2.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.8.1.2.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.8.1.2.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.2.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.2.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.2.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.3                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.8.1.3.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.3.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.8.1.3.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.3.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.3.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.3.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.3.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.8.1.3.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.3.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.3.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.8.1.3.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.8.1.3.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.3.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.8.1.3.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.8.1.3.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.9                     | ModuleList                          | 4.93M
  flow.decoder.estimator.mid_blocks.9.0                   | CausalResnetBlock1D                 | 0.72M
  flow.decoder.estimator.mid_blocks.9.0.mlp               | Sequential                          | 0.26M
  flow.decoder.estimator.mid_blocks.9.0.mlp.0             | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.9.0.mlp.1             | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.9.0.block1            | CausalBlock1D                       | 0.20M
  flow.decoder.estimator.mid_blocks.9.0.block1.block      | Sequential                          | 0.20M
  flow.decoder.estimator.mid_blocks.9.0.block1.block.0    | CausalConv1d                        | 0.20M
  flow.decoder.estimator.mid_blocks.9.0.block1.block.1    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.0.block1.block.2    | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.0.block1.block.3    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.0.block1.block.4    | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.9.0.block2            | CausalBlock1D                       | 0.20M
  flow.decoder.estimator.mid_blocks.9.0.block2.block      | Sequential                          | 0.20M
  flow.decoder.estimator.mid_blocks.9.0.block2.block.0    | CausalConv1d                        | 0.20M
  flow.decoder.estimator.mid_blocks.9.0.block2.block.1    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.0.block2.block.2    | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.0.block2.block.3    | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.0.block2.block.4    | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.9.0.res_conv          | Conv1d                              | 0.07M
  flow.decoder.estimator.mid_blocks.9.1                   | ModuleList                          | 4.20M
  flow.decoder.estimator.mid_blocks.9.1.0                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.9.1.0.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.0.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.9.1.0.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.0.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.0.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.0.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.0.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.0.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.0.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.0.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.9.1.0.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.9.1.0.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.0.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.0.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.0.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.1                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.9.1.1.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.1.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.9.1.1.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.1.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.1.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.1.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.1.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.1.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.1.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.1.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.9.1.1.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.9.1.1.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.1.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.1.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.1.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.2                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.9.1.2.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.2.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.9.1.2.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.2.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.2.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.2.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.2.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.2.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.2.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.2.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.9.1.2.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.9.1.2.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.2.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.2.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.2.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.3                 | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.9.1.3.norm1           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.3.attn1           | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.9.1.3.attn1.to_q      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.3.attn1.to_k      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.3.attn1.to_v      | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.3.attn1.to_out    | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.3.attn1.to_out.0  | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.9.1.3.attn1.to_out.1  | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.3.norm3           | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.3.ff              | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.9.1.3.ff.net          | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.9.1.3.ff.net.0        | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.3.ff.net.0.proj   | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.9.1.3.ff.net.1        | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.9.1.3.ff.net.2        | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.10                    | ModuleList                          | 4.93M
  flow.decoder.estimator.mid_blocks.10.0                  | CausalResnetBlock1D                 | 0.72M
  flow.decoder.estimator.mid_blocks.10.0.mlp              | Sequential                          | 0.26M
  flow.decoder.estimator.mid_blocks.10.0.mlp.0            | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.10.0.mlp.1            | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.10.0.block1           | CausalBlock1D                       | 0.20M
  flow.decoder.estimator.mid_blocks.10.0.block1.block     | Sequential                          | 0.20M
  flow.decoder.estimator.mid_blocks.10.0.block1.block.0   | CausalConv1d                        | 0.20M
  flow.decoder.estimator.mid_blocks.10.0.block1.block.1   | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.0.block1.block.2   | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.0.block1.block.3   | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.0.block1.block.4   | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.10.0.block2           | CausalBlock1D                       | 0.20M
  flow.decoder.estimator.mid_blocks.10.0.block2.block     | Sequential                          | 0.20M
  flow.decoder.estimator.mid_blocks.10.0.block2.block.0   | CausalConv1d                        | 0.20M
  flow.decoder.estimator.mid_blocks.10.0.block2.block.1   | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.0.block2.block.2   | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.0.block2.block.3   | Transpose                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.0.block2.block.4   | Mish                                | 0.00M
  flow.decoder.estimator.mid_blocks.10.0.res_conv         | Conv1d                              | 0.07M
  flow.decoder.estimator.mid_blocks.10.1                  | ModuleList                          | 4.20M
  flow.decoder.estimator.mid_blocks.10.1.0                | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.10.1.0.norm1          | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.1.0.attn1          | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.10.1.0.attn1.to_q     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.10.1.0.attn1.to_k     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.10.1.0.attn1.to_v     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.10.1.0.attn1.to_out   | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.10.1.0.attn1.to_out.0 | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.10.1.0.attn1.to_out.1 | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.10.1.0.norm3          | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.1.0.ff             | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.10.1.0.ff.net         | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.10.1.0.ff.net.0       | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.10.1.0.ff.net.0.proj  | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.10.1.0.ff.net.1       | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.10.1.0.ff.net.2       | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.10.1.1                | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.10.1.1.norm1          | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.1.1.attn1          | Attention                           | 0.52M
  flow.decoder.estimator.mid_blocks.10.1.1.attn1.to_q     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.10.1.1.attn1.to_k     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.10.1.1.attn1.to_v     | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.10.1.1.attn1.to_out   | ModuleList                          | 0.13M
  flow.decoder.estimator.mid_blocks.10.1.1.attn1.to_out.0 | LoRACompatibleLinear                | 0.13M
  flow.decoder.estimator.mid_blocks.10.1.1.attn1.to_out.1 | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.10.1.1.norm3          | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.1.1.ff             | FeedForward                         | 0.53M
  flow.decoder.estimator.mid_blocks.10.1.1.ff.net         | ModuleList                          | 0.53M
  flow.decoder.estimator.mid_blocks.10.1.1.ff.net.0       | GELU                                | 0.26M
  flow.decoder.estimator.mid_blocks.10.1.1.ff.net.0.proj  | Linear                              | 0.26M
  flow.decoder.estimator.mid_blocks.10.1.1.ff.net.1       | Dropout                             | 0.00M
  flow.decoder.estimator.mid_blocks.10.1.1.ff.net.2       | LoRACompatibleLinear                | 0.26M
  flow.decoder.estimator.mid_blocks.10.1.2                | BasicTransformerBlock               | 1.05M
  flow.decoder.estimator.mid_blocks.10.1.2.norm1          | LayerNorm                           | 0.00M
  flow.decoder.estimator.mid_blocks.10.1.2.attn1          | Attention                           | 0.52M
